review_id,app_id,app_name,content,score,thumbs_up_count,review_created_at,sentiment
4dc3006d-d37e-4da0-9feb-bdacb2bd4b19,com.gojek.app,Gojek,Karena Paylater saya di tolak padahal rating transaksi sudah banyak.,1,0,2026-06-16 02:22:13,netral
47652219-db99-43de-b8c6-d9d4510abbc6,com.gojek.app,Gojek,adik saya terkena pelecehan seksual saat naik ojol,1,4,2026-06-16 00:35:53,netral
96661b72-a1fe-4982-a2ee-0202d609c851,com.gojek.app,Gojek,aplikasi nya kadang suka ngebug kenapa ya setiap pesen goofod,1,0,2026-06-16 00:18:35,positif
699d168c-6601-462a-af14-24e196edf12b,com.gojek.app,Gojek,pdhl akun baru & gaperna dipake tapi uda gaada diskon/promo gedegedean lagi . akun lama pun uda gaperna ada diskon/promo !,1,0,2026-06-15 23:25:32,negatif
84ec3b24-1904-4650-95e3-e3ba2fc305d7,com.gojek.app,Gojek,"aplikasi kikir, ongkir mahal, harga makanan di lebih lebihkan dari harga asli toko.",1,0,2026-06-15 21:49:15,negatif
f8c5c178-3399-4a11-abc1-3b0f63d4faef,com.gojek.app,Gojek,gabisa dipake gofood,1,0,2026-06-15 20:48:04,netral
d95c93b0-b688-4eb2-9acb-ef6926477735,com.gojek.app,Gojek,drivernya nggak ada sopannya nggak mau cancel tapi enggak konfirmasi,1,0,2026-06-15 20:04:01,negatif
667f845c-dc78-4635-b6dc-fba2f5bae5f7,com.gojek.app,Gojek,bintang bicara,1,1,2026-06-15 19:12:30,netral
f742c49d-ab18-4c4e-abff-367cf72dc168,com.gojek.app,Gojek,tolol ini aplikasi error trus g BS di PSN gblk lu hapus aja apk lu,1,0,2026-06-15 19:10:22,negatif
cbcc87f9-0d59-45e7-a676-bcadefbef451,com.gojek.app,Gojek,Update terus. Kalau ga update ga mau ke buk😔 paylater atau pinjaman padahal bayar tepat waktu tpi tiba-tiba ga bisa digunakan... parahh ga jelas,1,0,2026-06-15 18:52:45,negatif
c844de60-838f-4ff2-ace6-770bbc9a4240,com.gojek.app,Gojek,"aplikasinya makin ksini makin aneh,padahal driver yg dekat banyak,tapi ntah kenapa diambil yang jauh.Beda banget dri aplikasi ojol lainnya.Apa lah gunanya driver yang jauh yang datang",1,0,2026-06-15 18:42:43,negatif
d2ba215b-f79b-40df-8fd1-1faa6cc5b5e8,com.gojek.app,Gojek,"apk sampah. gw dari tadi nungguin gojek malah ditolak. tau taunya kejauhan ngejemput nya. gw kasih tau kalo buat apk jangan nyusahin peng-gojeknya apa lagi untuk penumpang. mereka cape cape kerja, malah dikasih orderan yg jauh. terus hbis itu juga kasihan juga yg nungguin lama-lama tau taunya gak dateng gegara ngejemput-nya kejauhan.",1,0,2026-06-15 17:41:57,negatif
277a4d99-870e-421b-bd0f-d8ec8ea2973c,com.gojek.app,Gojek,"Merasah kecewa dengan aplikasi ini, saya pesan goride dapatnya driver yg jauh posisinya, padahal dekat saya sekitar seratusan meter banyak driver yg menunggu orderan",1,0,2026-06-15 17:41:17,negatif
463cabd2-a591-43c9-b99d-2d454fdc3b1a,com.gojek.app,Gojek,"kecewa dengan aplikasi ini, saya melakukan pembelian pulsa sebesar Rp.80.000 pada tanggal 10 juni 2026 status masih diproses hingga tanggal 12 juni 2026 status transaksi saya baru dinyatakan berhasil, tetapi setelah berhasil tidak ada pulsa yang masuk hingga hari ini sudah tanggal 15 juni 2026 dan saldo saya juga sudah terpotong, saya sudah hubungi cs lewat email juga no respon, jadi pikir2 bagi yang mau transaksi karena jika ada masalah akan sulit cari solusinya.",1,0,2026-06-15 17:32:58,negatif
d5f04951-4894-486b-96bc-563cb1fb3f69,com.gojek.app,Gojek,"woy gojek, knp tiap gua order gofood slalu dpt driver nya LAMA BANGET ! dan itu knp GOPAY PINJAM gak bisa diakses, GUA MAU BAYAR CICILAN jd SUSAH BANGET",1,0,2026-06-15 16:36:56,negatif
bd964637-7d51-4a2a-8994-b7c0949efe5f,com.gojek.app,Gojek,"aplikasi lemotnya minta ampun, apalagi tiap mau beli tiket go transit/buka qr tiket, padahal sinyal oke oke aja buka aplikasi lain, tp buat buka gojek lemot parah haduh",1,0,2026-06-15 16:22:24,netral
ee4cb795-eb21-4d25-91ca-46495177259d,com.gojek.app,Gojek,Lama-lama males pake gojek. harga lebih mahal dari grab. driver suka se enak nya gak datang alasan bocor lah apa lah. kita saling membutuhkan. cari duit jangan pilih pilih lah. sy slalu kasih tips juga. driver nya pada nyebelin. suka sengaja makin jauh jauhin biar apa? kesal gw!!!,1,0,2026-06-15 15:15:21,negatif
b80409e8-15f4-4bd4-aa44-cf70259d105f,com.gojek.app,Gojek,"orderan selalu ditolak😂, nungguin 1 jam akhir akhir nya ditolak apk lawak😂",1,0,2026-06-15 14:23:25,netral
cd534235-d8a8-49b4-a78c-d34252693c9c,com.gojek.app,Gojek,"tiba"" gabisa pake promo apapun meskipun udh langganan. katanya ada penyalahgunaan tp ditanya apa jawabnya apa. tiba"" banding ditolak parah bgt. saya sebagai pengguna lama bgt merasa kecewa dgn keputusan sepihak tanpa ada alasan dan solusi apapun",1,0,2026-06-15 12:54:16,negatif
51203db4-3fbb-4f4c-b945-7c71c6297e06,com.gojek.app,Gojek,drivernya,1,0,2026-06-15 12:53:29,netral
8ff06798-91a4-4adb-9c3b-dde4525d38ca,com.gojek.app,Gojek,"Driver suka lama, tolong ini diperbaiki!",1,0,2026-06-15 12:31:34,netral
244d43bd-abe2-4b42-b132-5bc4a0c0c991,com.gojek.app,Gojek,"nunggu makanan sejam tau"" dibatalin krna ga dapat driver",1,0,2026-06-15 12:30:29,negatif
5029dfd1-0d99-41ad-975e-9cd7b1f40ee1,com.gojek.app,Gojek,"aduhhhhhh sekarang susah gojek nih,mau beli apa2 ga ada yg nyantol drivernya,pada tidur mungkin yaa👎",1,0,2026-06-15 12:29:32,negatif
4be18c58-a6bb-44b0-b83c-7dde4b78fb8c,com.gojek.app,Gojek,buat admin.. gopay laternya saya kenapa tiba tiba di blokir.. padahal saya bayar ga pernah telat.. banyak juga keluhan yang saya baca tentang gopaylater.. tolong di benarkan sistemnya,1,1,2026-06-15 11:46:27,negatif
80108436-8dc6-4028-aa40-f2ad6996a4d3,com.gojek.app,Gojek,iklan jelek,1,0,2026-06-15 11:29:06,negatif
6f5afec6-a0e9-4e69-a262-aee7f38e6f7b,com.gojek.app,Gojek,"sebangsatnya mitra masih menguntungkan ya boss,,😅",1,0,2026-06-15 10:13:17,netral
b9295632-2fe5-43ab-8bd2-c7cdf50efb19,com.gojek.app,Gojek,OJOL GOJEK BAWA SENPI WKWKWKKWWK EMANG BOLEH YAAA,1,0,2026-06-15 10:06:47,netral
01788587-e955-4319-8f0b-facf7e327546,com.gojek.app,Gojek,"aneh banget gopay pinjam awal di lunasi malah mau pinjam lagi,di tolak terus...kalau terlambat bayar di kejar2 aneh ini gopay pinjam...tolong kalau orang sudah pelunasan kasix lah pinjaman lagi...apa lagi sudah pelunasan di awal",1,0,2026-06-15 10:05:49,negatif
c0f2e48d-365d-4bee-b638-0f5b3119a9d6,com.gojek.app,Gojek,"halo kenapa akun saya tiba tiba di blokir ya, atas kendala penyalah gunaan promo... apa yang saya salah dalam penggunaanya?... dan pemblokiran sepihak tanpa di dasari alasan pemblokiran yang jelas, tanpa menunjukan bukti bukti yang jelas juga... saya cuma pengen tau apa yang saya lakukan sehingga di blokir...",1,0,2026-06-15 10:02:22,netral
80488eef-8434-4afd-9e82-146223ff3a7e,com.gojek.app,Gojek,aplikasi penipu uang tersedot untuk bayar langganan padahal di pengaturan saya sudah matikan perpanjangan otomatis,1,0,2026-06-15 09:25:38,netral
77b4b5b7-559a-4b1b-9995-fd892e668336,com.gojek.app,Gojek,"heran sama ni aplikasi susah amat cara gojek apalagi yg pencarian mode hemat ampun susahnya, mending grab aja kalau ginimah!",1,0,2026-06-15 07:08:30,negatif
cf2de467-2536-4584-b453-d20add518bee,com.gojek.app,Gojek,klo mau bikin akun/login selalu lemot.,1,0,2026-06-15 04:05:53,negatif
18b6c200-0d41-472f-b1df-4517e5f7faaa,com.gojek.app,Gojek,"buruk,lama",1,0,2026-06-15 02:15:12,negatif
4599fb82-f6cc-4ef5-b375-1811cec58b03,com.gojek.app,Gojek,"Tadi ga sengaja kepencet co mau ganti alamat padahal blm dapat driver tapi gabisa dibatalin, padahal dapet drivernya pun aga lumayan lama. sumpah nyebelin bgt",1,0,2026-06-15 01:22:28,negatif
4637e1ba-b819-4c64-b6d6-da87779d129c,com.gojek.app,Gojek,"gojek kebiasaan nih ga bisa buka resto favorit, kan gue jadi ga bisa liat makanan yang pengen gue pesen😏😏😏",1,0,2026-06-15 00:33:40,negatif
f4793ae2-55b8-4ae8-8b04-bf80f87296f7,com.gojek.app,Gojek,fitur samarkan nomor telepon adalah fitur adu domba . driver sudah telpon tapi sering tidak terhubung . begitupun pelanggan tidak merasa ada telepon masuk,1,0,2026-06-15 00:12:33,negatif
99521891-3364-46ab-ba3e-cff81ae1fee3,com.gojek.app,Gojek,"nama tujuannya pdhl sudah sesuai, tp secara maps dia ngarahin ke tempat lain yg jelas² secara namanya itu bukan tempat yg saya tuju",1,0,2026-06-14 23:27:55,positif
233f5ae1-1063-4411-84bf-be31d2ae8478,com.gojek.app,Gojek,pesan makan dari jam 22:52 wita sampai jam 23:55 wita belum datang. kecewa dan cancel,1,0,2026-06-14 23:06:00,negatif
58777221-d220-478d-b065-c3c9fd3a993e,com.gojek.app,Gojek,"saya kecewa dengan gojek, tidak jelas pesan makan sampai lama tidak dapat driver, tiap pakai vocer murah susah dan lama. andai ada aplikasi yg LBH baik dari gojek saya pakai itu saja. gak rekom untuk di pakai.",1,0,2026-06-14 22:57:15,negatif
7e263e62-df43-4e55-982c-5da06346f819,com.gojek.app,Gojek,tidak recommended,1,0,2026-06-14 21:46:18,netral
d078912f-dad1-403e-98c3-972e8836194e,com.gojek.app,Gojek,"mls, giliran baru pesen gofood gabisa dibatalin, nanti setengah jam kemudian pihak gojek yg batalin, mana gabisa komplen",1,0,2026-06-14 21:34:57,netral
ce649d6e-53d1-4afc-beff-12003e98ac77,com.gojek.app,Gojek,"tolong untuk pihak developer nya segera di perbaiki aplikasi gojek nya,di karenakan saat booking gojek lama & tdk seperti biasanya.. entah booking dengan harga murah/mahal sama aja, Kendalanya rata² gojek sibuk.. undah pernah saya booking hingga nunggu 15 - 30 masih belum dapat,kendala yang saya alami itu sihh untuk yang lain nya masih aman (ok²) aja🙏🏻. #SEMOGA KEDEPAN NYA APLIKASI GOJEK MAKIN BAIK & BAGUS.",1,0,2026-06-14 21:25:02,positif
3593c725-5547-4524-afca-48d2e6499d3b,com.gojek.app,Gojek,gojek ga jelas..... udah nunggu 1 jam di tunggu malah drivernya ga ada hadehhh,1,0,2026-06-14 20:17:51,negatif
ca6d6fd6-0a12-4429-bdc9-dd89d2529e3c,com.gojek.app,Gojek,"tolong di mudahkan lagi pencarian driver untuk resto , apa pada gak mau ambil food , tolong ini ya jadi pusat perhatian , susah banget driver , bukanya banyak ya driver gojek , apa pada kena suspen , apa pada beralih ke akun lain???????",1,0,2026-06-14 19:41:51,negatif
